rank,symbol,name,score,lu_date_start,lu_date_end,lu_high,lu_low,fib_618,adj_days,adj_vol_ratio,adj_yang_ratio,adj_min_close,is_ladder_vol,uptrend_stage,ma60,ma120,vol_shrinking,broke_fib_618,is_sandwich,is_above_board,buy_price,protect_price,protect_type,sell_price_3pct,sell_price_5pct,meets_criteria,meets_preferred,board_type,board_count
1,603991,领先股份,56.5,2026-06-30,2026-07-01,155.27,124.13,143.37,2,0.731,0.5,151.1,False,mid,118.8,104.83,True,False,False,False,151.67,143.37,board_inside,156.22,159.25,True,1,2,2
2,002929,润建股份,54.7,2026-06-30,2026-07-01,73.57,60.2,68.46,2,0.883,0.0,68.99,False,early,67.63,57.7,True,False,False,False,68.99,68.46,board_inside,71.06,72.44,True,0,2,2
3,002628,成都路桥,50.3,2026-06-29,2026-06-30,5.35,4.36,4.97,3,0.983,0.0,5.4,False,early,5.29,5.05,True,False,False,False,5.4,5.35,board_above,5.56,5.67,True,0,2,2
