rank,symbol,name,score,lu_date_start,lu_date_end,lu_high,lu_low,fib_618,adj_days,adj_vol_ratio,adj_yang_ratio,adj_min_close,is_ladder_vol,uptrend_stage,is_sandwich,is_above_board,buy_price,protect_price,protect_type,sell_price_3pct,sell_price_5pct,meets_criteria,meets_preferred
1,003041,真爱美家,62.6,2026-05-06,2026-05-07,63.4,52.42,59.21,2,0.995,0.5,64.3,False,early,False,True,69.68,63.4,board_above,71.77,73.16,True,2
2,600714,金瑞矿业,53.7,2026-04-29,2026-04-30,22.1,17.86,20.48,4,0.987,0.75,21.66,False,early,False,False,24.77,22.1,board_above,25.51,26.01,True,1
3,002842,翔鹭钨业,52.5,2026-04-29,2026-04-30,38.49,32.32,36.13,4,0.841,0.25,37.55,False,early,False,False,37.72,36.13,board_inside,38.85,39.61,True,0
