rank,symbol,name,score,lu_date_start,lu_date_end,lu_high,lu_low,fib_618,adj_days,adj_vol_ratio,adj_yang_ratio,adj_min_close,is_ladder_vol,uptrend_stage,is_sandwich,is_above_board,buy_price,protect_price,protect_type,sell_price_3pct,sell_price_5pct,meets_criteria,meets_preferred
1,003041,真爱美家,58.5,2026-05-06,2026-05-07,63.4,52.42,59.21,4,0.842,0.25,64.3,False,early,False,True,65.28,63.4,board_above,67.24,68.54,True,1
2,688069,德林海,49.2,2026-05-06,2026-05-07,56.16,46.8,52.58,4,0.964,0.75,54.69,False,mid,False,False,55.48,52.58,board_inside,57.14,58.25,True,1
