rank,symbol,name,score,lu_date_start,lu_date_end,lu_high,lu_low,fib_618,adj_days,adj_vol_ratio,adj_yang_ratio,adj_min_close,is_ladder_vol,uptrend_stage,is_sandwich,is_above_board,buy_price,protect_price,protect_type,sell_price_3pct,sell_price_5pct,meets_criteria,meets_preferred
1,003041,真爱美家,61.2,2026-05-06,2026-05-07,63.4,52.42,59.21,1,0.989,0.0,64.3,False,early,False,True,64.3,63.4,board_above,66.23,67.52,True,1
2,600714,金瑞矿业,56.0,2026-04-29,2026-04-30,22.1,17.86,20.48,3,0.966,0.667,21.66,False,early,False,False,23.1,22.1,board_above,23.79,24.26,True,1
3,605289,罗曼股份,53.9,2026-04-27,2026-04-28,156.52,129.39,146.16,5,0.961,0.4,148.02,True,mid,False,False,166.1,156.52,board_above,171.08,174.4,True,1
4,605287,德才股份,53.4,2026-04-27,2026-04-28,54.21,45.51,50.89,5,0.807,0.6,55.32,False,early,False,False,63.2,54.21,board_above,65.1,66.36,True,1
5,002842,翔鹭钨业,51.2,2026-04-29,2026-04-30,38.49,32.32,36.13,3,0.934,0.0,37.55,False,early,False,False,37.55,36.13,board_inside,38.68,39.43,True,0
