rank,symbol,name,score,lu_date_start,lu_date_end,lu_high,lu_low,fib_618,adj_days,adj_vol_ratio,adj_yang_ratio,adj_min_close,is_ladder_vol,uptrend_stage,ma60,ma120,vol_shrinking,broke_fib_618,is_sandwich,is_above_board,buy_price,protect_price,protect_type,sell_price_3pct,sell_price_5pct,meets_criteria,meets_preferred,board_type,board_count
1,002068,黑猫股份,52.9,2026-06-22,2026-06-23,12.65,10.45,11.81,2,0.927,0.5,13.48,False,mid,9.7,9.45,True,False,False,False,14.83,12.65,board_above,15.27,15.57,True,1,multi,3
2,002842,翔鹭钨业,42.9,2026-06-18,2026-06-22,52.49,40.88,48.05,3,0.723,0.333,46.74,False,mid,35.86,31.81,True,False,False,False,51.41,48.05,board_inside,52.95,53.98,True,0,2,2
