rank,symbol,name,score,lu_date_start,lu_date_end,lu_high,lu_low,fib_618,adj_days,adj_vol_ratio,adj_yang_ratio,adj_min_close,is_ladder_vol,uptrend_stage,ma60,ma120,vol_shrinking,broke_fib_618,is_sandwich,is_above_board,buy_price,protect_price,protect_type,sell_price_3pct,sell_price_5pct,meets_criteria,meets_preferred,board_type,board_count
1,002628,成都路桥,55.3,2026-06-29,2026-06-30,5.35,4.36,4.97,1,0.983,0.0,5.42,False,early,5.28,5.03,True,False,False,False,5.42,5.35,board_above,5.58,5.69,True,0,2,2
2,002025,航天电器,54.1,2026-06-24,2026-06-25,73.27,61.8,68.89,4,0.592,0.5,71.75,False,mid,70.56,63.24,True,False,False,False,80.2,73.27,board_above,82.61,84.21,True,1,2,2
3,603163,圣晖集成,49.2,2026-06-26,2026-06-29,149.14,120.55,138.22,2,0.911,0.0,144.0,False,mid,109.66,106.57,True,False,False,False,144.0,138.22,board_inside,148.32,151.2,True,0,2,2
4,600379,宝光股份,41.7,2026-06-23,2026-06-24,15.1,12.59,14.14,5,0.815,0.4,13.7,False,early,13.78,13.17,True,False,False,False,15.38,15.1,board_above,15.84,16.15,True,0,2,2
